Student_ID_random,Course_ID,time,Concentration,Cluster,Academic_year,Period
1124,SKI2035,20101,NA,NA,2010-2011,1
1839,SSC1005,20161,SSC,Psychology,2016-2017,1
2169,PRO2003,20071,NA,Skills,2007-2008,1
1950,COR1004,20132,NA,Philosophy,2013-2014,2
966,SCI2003,20085,NA,NA,2008-2009,5
1831,SSC1009,20091,SSC,Governance,2009-2010,1
2425,SKI1004,20134,NA,Methods,2013-2014,4
1618,SKI2030,20104,NA,NA,2010-2011,4
1334,SKI2007,20174,NA,Skills,2017-2018,4
1959,SSC1006,20145,SSC,Int. Relations,2014-2015,5
384,SKI1004,20094,NA,Methods,2009-2010,4
1566,SSC1002,20092,NA,NA,2009-2010,2
2304,HUM2003,20111,HUM,Sociology,2011-2012,1
540,SSC1027,20175,SSC,Economics,2017-2018,5
1929,HUM1011,20111,HUM,Cultural Studies,2011-2012,1
183,UCEXTE0982,20071,NA,NA,2007-2008,1
423,SAS2002,20161,SSC,NA,2016-2017,1
408,LAN2000,20151,NA,NA,2015-2016,1
635,SCI2008,20085,NA,NA,2008-2009,5
2238,SAE0005,20091,NA,NA,2009-2010,1
1592,SSC3040,20125,SSC,Sociology,2012-2013,5
597,SCI2017,20071,SCI,Biomedical Sciences,2007-2008,1
2312,SCI2037,20164,SCI,Biomedical Sciences,2016-2017,4
336,SSC1025,20071,SSC,Governance,2007-2008,1
1471,SKI1009,20092,NA,Skills,2009-2010,2
116,SCI1009,20131,SCI,Biomedical Sciences,2013-2014,1
277,COR1002,20125,NA,Philosophy,2012-2013,5
289,SKI2083,20125,NA,Skills,2012-2013,5
2445,HUM2046,20171,HUM,Sociology,2017-2018,1
287,SKI2049,20101,NA,Skills,2010-2011,1
1662,SKI1004,20071,NA,Methods,2007-2008,1
1066,LAN2000,20151,NA,NA,2015-2016,1
1681,PRO1010,20163,NA,Skills,2016-2017,3
1693,SAS2001,20121,SSC,NA,2012-2013,1
1875,SCI1006,20125,NA,NA,2012-2013,5
1342,SKI1004,20124,NA,Methods,2012-2013,4
1910,SKI2084,20155,NA,Skills,2015-2016,5
1197,SSC2037,20094,SSC,Int. Relations,2009-2010,4
2287,SKI1007,20071,NA,NA,2007-2008,1
2330,COR1004,20092,NA,Philosophy,2009-2010,2
2296,SSC1005,20141,SSC,Psychology,2014-2015,1
1008,HUM2052,20115,HUM,Philosophy,2011-2012,5
1833,SSC2061,20162,SSC,Methods,2016-2017,2
1095,SSC2053,20145,SSC,Governance,2014-2015,5
1796,SCI1005,20145,SCI,Computer Science,2014-2015,5
1252,PRO1011,20096,NA,NA,2009-2010,6
913,SKI3052,20132,NA,Methods,2013-2014,2
1966,HUM3045,20171,HUM,Philosophy,2017-2018,1
2326,SSC3017,20174,SSC,Business,2017-2018,4
625,EXT0001,20161,NA,NA,2016-2017,1
919,HUM3029,20124,HUM,Literature,2012-2013,4
2408,SSC1007,20154,SSC,International Law,2015-2016,4
998,SSC1009,20151,SSC,Governance,2015-2016,1
1501,SSC1002,20095,NA,NA,2009-2010,5
274,SCI2019,20165,SCI,Mathematics,2016-2017,5
1966,SSC3018,20175,SSC,Methods,2017-2018,5
783,HUM2022,20102,HUM,Cultural Studies,2010-2011,2
1266,SSC2026,20115,NA,NA,2011-2012,5
1266,SSC3010,20131,NA,NA,2013-2014,1
872,COR1005,20091,NA,Methods,2009-2010,1
1971,SKI2007,20111,NA,Skills,2011-2012,1
988,SCI2009,20175,SCI,Biomedical Sciences,2017-2018,5
839,SCI1006,20135,NA,NA,2013-2014,5
1614,HUM3029,20071,HUM,Literature,2007-2008,1
181,SKI2084,20142,NA,Skills,2014-2015,2
1850,SCI2010,20164,SCI,Mathematics,2016-2017,4
757,PRO1010,20093,NA,Skills,2009-2010,3
790,SCI2034,20152,SCI,Psychology,2015-2016,2
817,COR1003,20151,NA,History,2015-2016,1
962,SAS2003,20151,SSC,NA,2015-2016,1
762,HUM3041,20144,HUM,Literature,2014-2015,4
147,SCI1016,20112,SCI,Globalization & SD,2011-2012,2
2070,SCI2002,20161,SCI,Mathematics,2016-2017,1
520,HUM2052,20125,HUM,Philosophy,2012-2013,5
766,SKI1009,20092,NA,Skills,2009-2010,2
1826,SSC1009,20141,SSC,Governance,2014-2015,1
2480,SSC3032,20092,SSC,Int. Relations,2009-2010,2
1004,SKI1005,20135,NA,Methods,2013-2014,5
1679,SSC1027,20172,SSC,Economics,2017-2018,2
2314,SKI2049,20141,NA,Skills,2014-2015,1
1281,SSC3045,20081,SSC,Business,2008-2009,1
1422,COR1005,20174,NA,Methods,2017-2018,4
1308,SAS3001,20114,SSC,NA,2011-2012,4
2100,COR1003,20164,NA,History,2016-2017,4
2239,SSC2037,20154,SSC,Int. Relations,2015-2016,4
2471,SSC1026,20071,NA,NA,2007-2008,1
1438,PRO3006,20163,NA,Skills,2016-2017,3
2128,IER3002,20135,NA,NA,2013-2014,5
1192,SSC2046,20141,SSC,Globalization & SD,2014-2015,1
2286,COR1005,20094,NA,Methods,2009-2010,4
821,SAC3001,20121,SCI,NA,2012-2013,1
2181,COR1002,20122,NA,Philosophy,2012-2013,2
1207,HUM2052,20145,HUM,Philosophy,2014-2015,5
226,SSC1025,20124,SSC,Governance,2012-2013,4
2100,PRO1010,20153,NA,Skills,2015-2016,3
470,SCI3004,20134,NA,NA,2013-2014,4
75,SKI1004,20151,NA,Methods,2015-2016,1
2437,COR1005,20081,NA,Methods,2008-2009,1
984,SSC2003,20082,NA,NA,2008-2009,2
697,SKI1005,20071,NA,Methods,2007-2008,1
260,SAS2003,20154,SSC,NA,2015-2016,4
2530,SSC2006,20071,SSC,Psychology,2007-2008,1
1315,PRO2003,20156,NA,Skills,2015-2016,6
517,SKI2083,20155,NA,Skills,2015-2016,5
776,IER3002,20125,NA,NA,2012-2013,5
2538,SSC2027,20111,SSC,Sociology,2011-2012,1
173,PRO1010,20163,NA,Skills,2016-2017,3
690,SSC1007,20102,SSC,International Law,2010-2011,2
1366,SCI2012,20134,SCI,Globalization & SD,2013-2014,4
2419,SKI2049,20144,NA,Skills,2014-2015,4
1780,CAP3000,20094,NA,NA,2009-2010,4
1398,SSC3032,20125,SSC,Int. Relations,2012-2013,5
2380,SSC2034,20085,SSC,International Law,2008-2009,5
2147,COR1002,20085,NA,Philosophy,2008-2009,5
1637,SSC2036,20172,SSC,Business,2017-2018,2
22,COR1004,20155,NA,Philosophy,2015-2016,5
466,SSC3045,20081,SSC,Business,2008-2009,1
721,SCI2010,20174,SCI,Mathematics,2017-2018,4
268,SKI3002,20162,NA,Skills,2016-2017,2
2205,PRO2003,20083,NA,Skills,2008-2009,3
2105,PRO3008,20126,NA,Skills,2012-2013,6
2321,SKI3002,20162,NA,Skills,2016-2017,2
2485,COR1002,20071,NA,Philosophy,2007-2008,1
1917,SSC3018,20155,SSC,Methods,2015-2016,5
428,SSC1001,20131,NA,NA,2013-2014,1
87,SKI1008,20151,NA,Skills,2015-2016,1
611,SKI1005,20085,NA,Methods,2008-2009,5
961,SAE0005,20091,NA,NA,2009-2010,1
490,SKI1004,20174,NA,Methods,2017-2018,4
160,EBC2048,20174,NA,NA,2017-2018,4
642,SKI2077,20144,NA,Methods,2014-2015,4
2042,PRO2004,20093,NA,Skills,2009-2010,3
1787,SAH2001,20131,HUM,NA,2013-2014,1
1072,SKI1008,20174,NA,Skills,2017-2018,4
2359,COR1002,20095,NA,Philosophy,2009-2010,5
2151,SSC2027,20081,SSC,Sociology,2008-2009,1
1605,UCLCLC267,20082,NA,NA,2008-2009,2
2305,COR1004,20071,NA,Philosophy,2007-2008,1
2511,SSC1027,20162,SSC,Economics,2016-2017,2
1112,PRO1011,20106,NA,NA,2010-2011,6
2185,SKI2049,20151,NA,Skills,2015-2016,1
1433,SSC1006,20095,SSC,Int. Relations,2009-2010,5
934,SSC2038,20124,SSC,Economics,2012-2013,4
441,SAC2001,20144,SCI,NA,2014-2015,4
888,SKI2002,20085,NA,NA,2008-2009,5
369,PRO2003,20156,NA,Skills,2015-2016,6
2314,HUM2008,20141,HUM,Philosophy,2014-2015,1
1577,UCLCLC229,20081,NA,NA,2008-2009,1
2291,SSC1006,20071,SSC,Int. Relations,2007-2008,1
1909,SAS2001,20121,SSC,NA,2012-2013,1
618,PRO1010,20163,NA,Skills,2016-2017,3
1815,SSC2020,20131,SSC,Economics,2013-2014,1
2150,SAS3001,20121,SSC,NA,2012-2013,1
1690,COR1003,20084,NA,History,2008-2009,4
1114,SAE0003,20094,NA,NA,2009-2010,4
231,SKI2000,20121,NA,Skills,2012-2013,1
1208,SAS1001,20114,SSC,NA,2011-2012,4
2338,UCEXTE0102,20071,NA,NA,2007-2008,1
1490,COR1005,20124,NA,Methods,2012-2013,4
1959,SKI2085,20151,NA,Methods,2015-2016,1
2368,UCEXTE1038,20071,NA,NA,2007-2008,1
2257,SSC3018,20175,SSC,Methods,2017-2018,5
994,SKI1004,20164,NA,Methods,2016-2017,4
135,SKI1009,20142,NA,Skills,2014-2015,2
2185,SKI2007,20154,NA,Skills,2015-2016,4
729,SAH2001,20171,HUM,NA,2017-2018,1
1898,SSC2055,20122,SSC,Business,2012-2013,2
1108,SKI3050,20091,NA,Skills,2009-2010,1
2100,SKI1009,20152,NA,Skills,2015-2016,2
1841,PRO1010,20173,NA,Skills,2017-2018,3
964,SAS2002,20121,SSC,NA,2012-2013,1
1332,UCEXTE1290,20082,NA,NA,2008-2009,2
1863,SSC2058,20152,SSC,Sociology,2015-2016,2
1629,SCI2012,20104,SCI,Globalization & SD,2010-2011,4
1732,SKI3002,20152,NA,Skills,2015-2016,2
534,SSC1007,20132,SSC,International Law,2013-2014,2
1955,SSC1007,20105,SSC,International Law,2010-2011,5
732,SCI1009,20141,SCI,Biomedical Sciences,2014-2015,1
1718,HUM1012,20111,HUM,Cultural Studies,2011-2012,1
888,SCI2034,20112,SCI,Psychology,2011-2012,2
308,SAS2001,20171,SSC,NA,2017-2018,1
1967,SSC1025,20114,SSC,Governance,2011-2012,4
342,SSC3011,20124,SSC,Governance,2012-2013,4
1583,PRO1012,20156,NA,Methods,2015-2016,6
305,COR1004,20125,NA,Philosophy,2012-2013,5
1930,PRO1012,20146,NA,Methods,2014-2015,6
211,HUM2043,20145,HUM,Cultural Studies,2014-2015,5
890,SKI1009,20092,NA,Skills,2009-2010,2
2536,PRO2004,20103,NA,Skills,2010-2011,3
542,COR1002,20165,NA,Philosophy,2016-2017,5
1674,SKI1005,20175,NA,Methods,2017-2018,5
2428,COR1002,20125,NA,Philosophy,2012-2013,5
2335,SKI2065,20141,NA,Methods,2014-2015,1
795,SKI2002,20071,NA,NA,2007-2008,1
1715,SCI2012,20134,SCI,Globalization & SD,2013-2014,4
1211,SSC1007,20134,SSC,International Law,2013-2014,4
1879,COR1002,20142,NA,Philosophy,2014-2015,2
1672,SSC3023,20144,SSC,Philosophy,2014-2015,4
2180,SKI1004,20114,NA,Methods,2011-2012,4
322,PRO2004,20176,NA,Skills,2017-2018,6
2502,HUM2020,20085,NA,NA,2008-2009,5
654,HUM2013,20092,HUM,Cultural Studies,2009-2010,2
1438,SSC2043,20155,SSC,Economics,2015-2016,5
196,SSC1007,20162,SSC,International Law,2016-2017,2
812,PRO2003,20166,NA,Skills,2016-2017,6
1547,SSC2037,20154,SSC,Int. Relations,2015-2016,4
992,HUM1013,20122,HUM,History,2012-2013,2
1374,UCEXTE1013,20071,NA,NA,2007-2008,1
302,COR1004,20175,NA,Philosophy,2017-2018,5
514,PRO3008,20116,NA,Skills,2011-2012,6
832,SKI1008,20141,NA,Skills,2014-2015,1
1146,SKI1005,20165,NA,Methods,2016-2017,5
717,PRO2011,20173,NA,Skills,2017-2018,3
2014,CAP3000,20114,NA,NA,2011-2012,4
1014,SSC1025,20154,SSC,Governance,2015-2016,4
2015,SKI2007,20094,NA,Skills,2009-2010,4
315,SSC1006,20175,SSC,Int. Relations,2017-2018,5
1582,HUM3029,20164,HUM,Literature,2016-2017,4
1323,SSC1002,20085,NA,NA,2008-2009,5
2059,SSC2050,20175,SSC,Psychology,2017-2018,5
687,SSC3032,20112,SSC,Int. Relations,2011-2012,2
1758,SKI3002,20172,NA,Skills,2017-2018,2
211,SCI2012,20154,SCI,Globalization & SD,2015-2016,4
1723,LAN2000,20151,NA,NA,2015-2016,1
2292,SSC3052,20134,SSC,Int. Relations,2013-2014,4
336,HUM2006,20085,NA,NA,2008-2009,5
1391,SKI1009,20112,NA,Skills,2011-2012,2
1371,SSC3011,20114,SSC,Governance,2011-2012,4
2080,SSC2033,20085,NA,NA,2008-2009,5
1361,SSC2042,20165,SSC,International Law,2016-2017,5
1284,SKI3052,20122,NA,Methods,2012-2013,2
737,SKI2065,20081,NA,Methods,2008-2009,1
132,SCI2019,20125,SCI,Mathematics,2012-2013,5
1056,SSC1027,20142,SSC,Economics,2014-2015,2
20,SKI1009,20172,NA,Skills,2017-2018,2
1113,COR1004,20145,NA,Philosophy,2014-2015,5
2446,SSC1005,20131,SSC,Psychology,2013-2014,1
519,SSC3015,20095,NA,NA,2009-2010,5
957,SKI1005,20095,NA,Methods,2009-2010,5
1953,SSC2052,20144,SSC,Economics,2014-2015,4
2034,COR1004,20071,NA,Philosophy,2007-2008,1
514,SSC2052,20104,SSC,Economics,2010-2011,4
1628,COR1005,20164,NA,Methods,2016-2017,4
662,SCI2012,20084,SCI,Globalization & SD,2008-2009,4
499,SCI2003,20124,NA,NA,2012-2013,4
1569,SSC1009,20151,SSC,Governance,2015-2016,1
887,SSC3053,20165,SSC,Business,2016-2017,5
1835,SKI1004,20144,NA,Methods,2014-2015,4
367,PRO1010,20093,NA,Skills,2009-2010,3
925,SSC2019,20071,SSC,Psychology,2007-2008,1
1518,SSC3030,20161,SSC,International Law,2016-2017,1
2070,SSC3052,20155,SSC,Int. Relations,2015-2016,5
2410,SAS3002,20171,SSC,NA,2017-2018,1
584,SSC1001,20071,NA,NA,2007-2008,1
927,SCI3005,20145,SCI,Biomedical Sciences,2014-2015,5
1663,UGR2001,20144,NA,Methods,2014-2015,4
2107,SCI2011,20151,SCI,Computer Science,2015-2016,1
547,SSC1007,20132,SSC,International Law,2013-2014,2
580,SCI2012,20104,SCI,Globalization & SD,2010-2011,4
888,SKI3002,20112,NA,Skills,2011-2012,2
1732,SSC3011,20154,SSC,Governance,2015-2016,4
708,HUM2025,20105,NA,NA,2010-2011,5
501,SCI3003,20135,SCI,Mathematics,2013-2014,5
547,SCI2010,20154,SCI,Mathematics,2015-2016,4
1710,SSC2012,20085,NA,NA,2008-2009,5
869,SSC2061,20152,SSC,Methods,2015-2016,2
2020,SSC2046,20101,SSC,Globalization & SD,2010-2011,1
1315,SKI2007,20154,NA,Skills,2015-2016,4
1500,SSC2004,20071,SSC,Psychology,2007-2008,1
2471,HUM3040,20102,HUM,Sociology,2010-2011,2
78,COR1004,20132,NA,Philosophy,2013-2014,2
354,SAH3001,20151,HUM,NA,2015-2016,1
1779,SKI1006,20081,NA,NA,2008-2009,1
1885,PRO3008,20123,NA,Skills,2012-2013,3
1413,COR1003,20151,NA,History,2015-2016,1
1034,SSC2060,20155,SSC,International Law,2015-2016,5
344,UCEXTE1341,20082,NA,NA,2008-2009,2
614,KEN2430,20124,NA,NA,2012-2013,4
146,COR1005,20171,NA,Methods,2017-2018,1
1354,SKI2000,20131,NA,Skills,2013-2014,1
772,SSC3038,20124,SSC,Sociology,2012-2013,4
354,SSC2062,20144,SSC,Psychology,2014-2015,4
1463,SSC3002,20135,SSC,Int. Relations,2013-2014,5
2456,SSC2019,20082,SSC,Psychology,2008-2009,2
901,COR1005,20124,NA,Methods,2012-2013,4
1659,COR1003,20154,NA,History,2015-2016,4
2183,SSC1005,20102,SSC,Psychology,2010-2011,2
449,COR1002,20145,NA,Philosophy,2014-2015,5
576,SKI1008,20131,NA,Skills,2013-2014,1
2166,SAS2004,20114,SSC,NA,2011-2012,4
1983,SAE0004,20094,NA,NA,2009-2010,4
223,PRO1011,20106,NA,NA,2010-2011,6
1308,SSC2028,20112,SSC,Sociology,2011-2012,2
1137,SKI2049,20161,NA,Skills,2016-2017,1
1773,SKI2051,20094,NA,NA,2009-2010,4
939,SKI1009,20102,NA,Skills,2010-2011,2
616,KEN3231,20132,NA,NA,2013-2014,2
1948,PRO1012,20146,NA,Methods,2014-2015,6
1315,SAC3001,20161,SCI,NA,2016-2017,1
928,SAH3001,20121,HUM,NA,2012-2013,1
963,SSC3040,20175,SSC,Sociology,2017-2018,5
509,HUM1007,20071,HUM,Philosophy,2007-2008,1
1632,PRO2003,20166,NA,Skills,2016-2017,6
699,SKI2083,20155,NA,Skills,2015-2016,5
1329,COR1004,20142,NA,Philosophy,2014-2015,2
217,SCI3004,20134,NA,NA,2013-2014,4
321,HUM2022,20092,HUM,Cultural Studies,2009-2010,2
121,PRO1010,20173,NA,Skills,2017-2018,3
227,SSC2037,20114,SSC,Int. Relations,2011-2012,4
2129,SKI1009,20142,NA,Skills,2014-2015,2
303,HUM3045,20141,HUM,Philosophy,2014-2015,1
1516,HUM2043,20155,HUM,Cultural Studies,2015-2016,5
1102,HUM3040,20112,HUM,Sociology,2011-2012,2
1372,PSY1004,20082,NA,NA,2008-2009,2
2131,SCI1016,20082,SCI,Globalization & SD,2008-2009,2
381,MET3003,20101,NA,NA,2010-2011,1
1478,SKI1008,20091,NA,Skills,2009-2010,1
2486,UCEXTE1114,20071,NA,NA,2007-2008,1
676,SCI2011,20171,SCI,Computer Science,2017-2018,1
147,SSC3044,20122,SSC,Business,2012-2013,2
888,SKI2049,20071,NA,Skills,2007-2008,1
139,SKI1004,20094,NA,Methods,2009-2010,4
1065,SSC2019,20082,SSC,Psychology,2008-2009,2
1550,SSC2046,20091,SSC,Globalization & SD,2009-2010,1
1300,SKI1009,20125,NA,Skills,2012-2013,5
2244,SSC1006,20115,SSC,Int. Relations,2011-2012,5
1378,SSC3002,20175,SSC,Int. Relations,2017-2018,5
1223,SSC3032,20082,SSC,Int. Relations,2008-2009,2
555,SAS3004,20124,SSC,NA,2012-2013,4
1925,SSC3052,20145,SSC,Int. Relations,2014-2015,5
2447,PRO2003,20166,NA,Skills,2016-2017,6
273,SKI3051,20082,NA,Skills,2008-2009,2
2339,PRO1010,20071,NA,Skills,2007-2008,1
584,SKI2007,20084,NA,Skills,2008-2009,4
1,SSC2046,20081,SSC,Globalization & SD,2008-2009,1
1381,SCI2012,20154,SCI,Globalization & SD,2015-2016,4
2140,SCI2034,20172,SCI,Psychology,2017-2018,2
2377,COR1004,20145,NA,Philosophy,2014-2015,5
1517,COR1002,20082,NA,Philosophy,2008-2009,2
1435,SKI1009,20132,NA,Skills,2013-2014,2
690,SKI2003,20134,NA,NA,2013-2014,4
2321,SSC2018,20164,SSC,Business,2016-2017,4
1785,SKI2049,20151,NA,Skills,2015-2016,1
2267,SCI2012,20134,SCI,Globalization & SD,2013-2014,4
1721,SKI1007,20071,NA,NA,2007-2008,1
1892,SSC1005,20171,SSC,Psychology,2017-2018,1
685,HUM1003,20071,HUM,Cultural Studies,2007-2008,1
774,SKI2000,20111,NA,Skills,2011-2012,1
663,SSC1029,20161,SSC,Sociology,2016-2017,1
730,SSC2027,20071,SSC,Sociology,2007-2008,1
1712,HUM2022,20112,HUM,Cultural Studies,2011-2012,2
1156,SCI1016,20071,SCI,Globalization & SD,2007-2008,1
1378,SKI1008,20164,NA,Skills,2016-2017,4
1101,COR1004,20135,NA,Philosophy,2013-2014,5
1457,HUM2014,20132,HUM,Philosophy,2013-2014,2
1627,SKI3002,20152,NA,Skills,2015-2016,2
784,PRO1010,20103,NA,Skills,2010-2011,3
1443,SSC1027,20132,SSC,Economics,2013-2014,2
1014,PRO1010,20156,NA,Skills,2015-2016,6
661,HUM2013,20092,HUM,Cultural Studies,2009-2010,2
142,SAC2001,20141,SCI,NA,2014-2015,1
1596,PRO3009,20133,NA,Methods,2013-2014,3
999,HUM1003,20164,HUM,Cultural Studies,2016-2017,4
42,SKI1006,20081,NA,NA,2008-2009,1
1576,SKI1004,20134,NA,Methods,2013-2014,4
1623,SKI2049,20154,NA,Skills,2015-2016,4
239,COR1003,20124,NA,History,2012-2013,4
320,LAN2000,20161,NA,NA,2016-2017,1
1728,PRO1010,20173,NA,Skills,2017-2018,3
2431,SSC1005,20111,SSC,Psychology,2011-2012,1
2422,SKI1007,20082,NA,NA,2008-2009,2
313,PRO1010,20133,NA,Skills,2013-2014,3
2486,UCCRSSS337,20082,NA,NA,2008-2009,2
2199,SSC3032,20142,SSC,Int. Relations,2014-2015,2
1964,SSC3015,20071,NA,NA,2007-2008,1
2129,SKI3050,20162,NA,Skills,2016-2017,2
333,UCLCLC272,20071,NA,NA,2007-2008,1
1320,SAS3003,20114,SSC,NA,2011-2012,4
1142,HUM2003,20161,HUM,Sociology,2016-2017,1
909,SCI2012,20124,SCI,Globalization & SD,2012-2013,4
1952,SAC3002,20164,SCI,NA,2016-2017,4
62,SAH1001,20141,HUM,NA,2014-2015,1
46,PRO1010,20113,NA,Skills,2011-2012,3
1288,SCI2012,20144,SCI,Globalization & SD,2014-2015,4
1414,HUM2003,20131,HUM,Sociology,2013-2014,1
366,SKI1005,20175,NA,Methods,2017-2018,5
2139,SSC2047,20091,NA,NA,2009-2010,1
2283,HUM1014,20174,HUM,Literature,2017-2018,4
938,SAC3001,20121,SCI,NA,2012-2013,1
1215,HUM1007,20172,HUM,Philosophy,2017-2018,2
1176,SAS2003,20164,SSC,NA,2016-2017,4
2491,SSC1007,20122,SSC,International Law,2012-2013,2
640,SKI1004,20094,NA,Methods,2009-2010,4
1092,CAP3000,20174,NA,NA,2017-2018,4
331,SSC1005,20141,SSC,Psychology,2014-2015,1
1571,SKI1004,20114,NA,Methods,2011-2012,4
1167,HUM1010,20112,HUM,International Law,2011-2012,2
2088,HUM2003,20171,HUM,Sociology,2017-2018,1
902,SAE0004,20094,NA,NA,2009-2010,4
220,SSC2034,20105,SSC,International Law,2010-2011,5
653,SKI2000,20131,NA,Skills,2013-2014,1
190,SCI2012,20084,SCI,Globalization & SD,2008-2009,4
2490,SCI2012,20094,SCI,Globalization & SD,2009-2010,4
460,SSC1009,20171,SSC,Governance,2017-2018,1
167,SSC2039,20084,SSC,Philosophy,2008-2009,4
142,PRO1011,20126,NA,NA,2012-2013,6
2056,SKI1005,20175,NA,Methods,2017-2018,5
2250,PRO2004,20086,NA,Skills,2008-2009,6
2521,COR1005,20094,NA,Methods,2009-2010,4
2291,SCI1016,20071,SCI,Globalization & SD,2007-2008,1
1427,SKI2085,20131,NA,Methods,2013-2014,1
1235,COR1005,20104,NA,Methods,2010-2011,4
501,COR1003,20131,NA,History,2013-2014,1
93,SAS2002,20171,SSC,NA,2017-2018,1
2313,COR1005,20174,NA,Methods,2017-2018,4
237,SKI1005,20175,NA,Methods,2017-2018,5
545,SSC1007,20172,SSC,International Law,2017-2018,2
2021,SSC2022,20165,SSC,Business,2016-2017,5
716,CAP3000,20134,NA,NA,2013-2014,4
1284,SKI2000,20124,NA,Skills,2012-2013,4
1321,SKI1005,20085,NA,Methods,2008-2009,5
167,HUM1011,20081,HUM,Cultural Studies,2008-2009,1
2084,PRO2004,20071,NA,Skills,2007-2008,1
890,SCI3046,20115,SCI,Psychology,2011-2012,5
2318,SAE0004,20091,NA,NA,2009-2010,1
274,SSC3040,20175,SSC,Sociology,2017-2018,5
631,SSC1005,20161,SSC,Psychology,2016-2017,1
1038,PRO3009,20133,NA,Methods,2013-2014,3
301,HUM3045,20161,HUM,Philosophy,2016-2017,1
1662,SSC1001,20101,NA,NA,2010-2011,1
1597,PRO1011,20096,NA,NA,2009-2010,6
504,SSC3018,20145,SSC,Methods,2014-2015,5
49,SSC2022,20071,SSC,Business,2007-2008,1
682,MAT2006,20174,NA,NA,2017-2018,4
252,PRO1010,20123,NA,Skills,2012-2013,3
894,SKI1005,20175,NA,Methods,2017-2018,5
2535,EXT0003,20131,NA,NA,2013-2014,1
1281,PRO2003,20071,NA,Skills,2007-2008,1
1618,COR1004,20115,NA,Philosophy,2011-2012,5
2413,SSC1002,20095,NA,NA,2009-2010,5
957,SSC2006,20094,SSC,Psychology,2009-2010,4
2275,PRO1009,20071,NA,NA,2007-2008,1
887,SSC2042,20145,SSC,International Law,2014-2015,5
2469,SSC2046,20161,SSC,Globalization & SD,2016-2017,1
11,SSC3002,20115,SSC,Int. Relations,2011-2012,5
128,COR1005,20161,NA,Methods,2016-2017,1
1156,SSC1007,20071,SSC,International Law,2007-2008,1
701,SSC2046,20101,SSC,Globalization & SD,2010-2011,1
1838,SKI1005,20152,NA,Methods,2015-2016,2
947,SSC2037,20174,SSC,Int. Relations,2017-2018,4
472,SSC2052,20154,SSC,Economics,2015-2016,4
1595,SKI1009,20142,NA,Skills,2014-2015,2
1888,SKI2007,20101,NA,Skills,2010-2011,1
905,EBC2054,20161,NA,NA,2016-2017,1
1278,HUM1007,20132,HUM,Philosophy,2013-2014,2
245,COR1005,20091,NA,Methods,2009-2010,1
1687,SKI1005,20175,NA,Methods,2017-2018,5
1012,SSC3030,20081,SSC,International Law,2008-2009,1
754,SKI2007,20121,NA,Skills,2012-2013,1
1988,SCI1016,20112,SCI,Globalization & SD,2011-2012,2
2353,SSC3011,20114,SSC,Governance,2011-2012,4
744,SKI1008,20151,NA,Skills,2015-2016,1
176,SSC3023,20144,SSC,Philosophy,2014-2015,4
2014,SSC3040,20105,SSC,Sociology,2010-2011,5
848,SSC1007,20152,SSC,International Law,2015-2016,2
1909,SSC1009,20101,SSC,Governance,2010-2011,1
1449,SKI2007,20104,NA,Skills,2010-2011,4
2307,SSC2046,20141,SSC,Globalization & SD,2014-2015,1
2200,SSC3038,20144,SSC,Sociology,2014-2015,4
1056,SKI2007,20154,NA,Skills,2015-2016,4
1769,SSC2008,20165,SSC,Business,2016-2017,5
913,SSC1007,20124,SSC,International Law,2012-2013,4
2248,SCI2012,20154,SCI,Globalization & SD,2015-2016,4
47,COR1004,20135,NA,Philosophy,2013-2014,5
1130,SKI2007,20121,NA,Skills,2012-2013,1
1616,COR1003,20171,NA,History,2017-2018,1
1870,SAE0008,20084,NA,NA,2008-2009,4
105,SSC1003,20141,SSC,Sociology,2014-2015,1
394,SKI1005,20071,NA,Methods,2007-2008,1
273,HUM1003,20071,HUM,Cultural Studies,2007-2008,1
2500,PRO2004,20071,NA,Skills,2007-2008,1
1945,SCI2012,20144,SCI,Globalization & SD,2014-2015,4
1589,SKI1008,20101,NA,Skills,2010-2011,1
68,SSC3038,20114,SSC,Sociology,2011-2012,4
2274,PRO2004,20086,NA,Skills,2008-2009,6
630,HUM2021,20071,HUM,History,2007-2008,1
435,COR1004,20155,NA,Philosophy,2015-2016,5
1767,SKI2049,20151,NA,Skills,2015-2016,1
14,SSC2061,20162,SSC,Methods,2016-2017,2
860,SSC1006,20105,SSC,Int. Relations,2010-2011,5
2416,SSC3018,20155,SSC,Methods,2015-2016,5
327,SKI2007,20124,NA,Skills,2012-2013,4
1736,SKI1004,20144,NA,Methods,2014-2015,4
2382,SKI1005,20125,NA,Methods,2012-2013,5
211,COR1002,20165,NA,Philosophy,2016-2017,5
219,SSC3040,20145,SSC,Sociology,2014-2015,5
1344,SKI1009,20162,NA,Skills,2016-2017,2
2410,SSC2046,20161,SSC,Globalization & SD,2016-2017,1
1883,HUM2003,20101,HUM,Sociology,2010-2011,1
2150,SSC1006,20105,SSC,Int. Relations,2010-2011,5
2085,SKI1005,20095,NA,Methods,2009-2010,5
115,SKI1004,20164,NA,Methods,2016-2017,4
2294,SSC1009,20071,SSC,Governance,2007-2008,1
2221,SKI2007,20151,NA,Skills,2015-2016,1
1591,HUM2055,20172,HUM,History,2017-2018,2
1343,SSC3038,20124,SSC,Sociology,2012-2013,4
